player_name,year,hand,rel_height,rel_side,extension,total_pitches,haa_2-Seam/Sinker,haa_4-Seam,haa_Changeup,haa_Curveball,haa_Cutter,haa_Knuckleball,haa_Slider,haa_Splitter,haa_Sweeper,hb_2-Seam/Sinker,hb_4-Seam,hb_Changeup,hb_Curveball,hb_Cutter,hb_Knuckleball,hb_Slider,hb_Splitter,hb_Sweeper,ivb_2-Seam/Sinker,ivb_4-Seam,ivb_Changeup,ivb_Curveball,ivb_Cutter,ivb_Knuckleball,ivb_Slider,ivb_Splitter,ivb_Sweeper,n_2-Seam/Sinker,n_4-Seam,n_Changeup,n_Curveball,n_Cutter,n_Knuckleball,n_Slider,n_Splitter,n_Sweeper,pct_2-Seam/Sinker,pct_4-Seam,pct_Changeup,pct_Curveball,pct_Cutter,pct_Knuckleball,pct_Slider,pct_Splitter,pct_Sweeper,vaa_2-Seam/Sinker,vaa_4-Seam,vaa_Changeup,vaa_Curveball,vaa_Cutter,vaa_Knuckleball,vaa_Slider,vaa_Splitter,vaa_Sweeper,velo_2-Seam/Sinker,velo_4-Seam,velo_Changeup,velo_Curveball,velo_Cutter,velo_Knuckleball,velo_Slider,velo_Splitter,velo_Sweeper
"Chargois, JT",2018,R,4.956,-1.942,6.217,505,-0.145,,,,,,-2.724,,,-17.632,,,,,,2.04,,,6.68,,,,,,-3.742,,,207.0,,,,,,250.0,,,0.41,,,,,,0.495,,,5.448,,,,,,7.357,,,95.117,,,,,,85.504,,
"Chatwood, Tyler",2018,R,5.53,-2.245,5.965,1946,-0.725,-2.364,-0.449,-3.507,-2.934,,,,,-13.455,-2.659,-10.788,9.047,1.583,,,,,12.158,15.177,10.41,-15.127,7.243,,,,,513.0,634.0,131.0,167.0,501.0,,,,,0.264,0.326,0.067,0.086,0.257,,,,,5.573,5.046,6.429,10.064,6.239,,,,,92.704,93.365,86.395,78.152,88.803,,,,
"Chavez, Jesse",2018,R,5.259,-1.445,5.88,1488,0.145,-0.721,0.261,,-1.775,,-2.591,,,-16.808,-10.232,-16.317,,-2.699,,4.137,,,9.774,16.241,3.876,,14.487,,0.827,,,393.0,234.0,96.0,,550.0,,182.0,,,0.264,0.157,0.065,,0.37,,0.122,,,5.446,4.763,7.04,,4.744,,7.29,,,93.124,92.749,86.674,,91.406,,85.055,,
"Chen, Wei-Yin",2018,L,5.955,1.789,5.989,2204,-0.117,1.477,0.078,1.991,,,2.672,,,-13.825,-5.829,-10.232,6.335,,,5.08,,,13.195,17.354,11.542,-10.484,,,6.782,,,66.0,1169.0,256.0,226.0,,,487.0,,,0.03,0.53,0.116,0.103,,,0.221,,,6.082,5.219,6.909,10.337,,,7.429,,,90.553,91.114,82.957,73.28,,,84.876,,
"Chirinos, Yonny",2018,R,6.596,-0.261,6.161,1312,1.553,-0.166,,,,,-0.655,1.015,,-16.532,-7.631,,,,,1.857,-7.049,,10.735,16.769,,,,,6.474,2.306,,743.0,85.0,,,,,302.0,181.0,,0.567,0.065,,,,,0.23,0.138,,6.639,5.242,,,,,7.97,8.654,,93.579,94.088,,,,,87.628,85.325,
"Cimber, Adam",2018,R,2.065,-3.537,6.384,982,-1.837,-2.038,,,,,-4.173,,,-15.076,-16.13,,,,,-1.766,,,-6.806,2.606,,,,,4.009,,,463.0,274.0,,,,,245.0,,,0.471,0.279,,,,,0.249,,,4.057,2.51,,,,,4.096,,,86.189,87.149,,,,,78.422,,
"Cingrani, Tony",2018,L,5.486,2.531,6.465,372,,2.005,,,,,4.021,,,,-5.085,,,,,10.002,,,,12.677,,,,,4.018,,,,294.0,,,,,72.0,,,,0.79,,,,,0.194,,,,4.621,,,,,7.946,,,,93.544,,,,,82.307,,
"Cishek, Steve",2018,R,4.087,-3.532,7.256,1159,-1.732,-2.811,,,,,-5.697,,,-16.2,-9.401,,,,,14.706,,,3.411,10.386,,,,,-1.365,,,570.0,151.0,,,,,433.0,,,0.492,0.13,,,,,0.374,,,4.881,2.988,,,,,6.989,,,90.285,90.267,,,,,77.517,,
"Claudio, Alex",2018,L,4.55,3.338,5.635,1063,1.551,,1.135,,,,4.841,,,-17.542,,-19.224,,,,7.928,,,-4.64,,-1.816,,,,2.232,,,551.0,,388.0,,,,124.0,,,0.518,,0.365,,,,0.117,,,6.864,,8.808,,,,7.93,,,85.977,,70.872,,,,75.736,,
"Clevinger, Mike",2018,R,5.301,-1.549,6.509,3362,,-0.916,0.322,-2.642,,,,,-3.738,,-7.762,-13.964,11.608,,,,,16.499,,16.105,8.0,-10.836,,,,,1.899,,1782.0,473.0,399.0,,,,,707.0,,0.53,0.141,0.119,,,,,0.21,,4.435,6.453,9.956,,,,,7.773,,93.645,87.608,75.489,,,,,79.504
"Clippard, Tyler",2018,R,6.112,-1.596,5.888,1147,,-1.325,-0.649,,,,-2.31,-0.879,,,-5.178,-11.809,,,,4.508,-4.064,,,18.736,16.602,,,,2.972,2.498,,,493.0,361.0,,,,99.0,183.0,,,0.43,0.315,,,,0.086,0.16,,,4.869,7.205,,,,7.764,8.376,,,90.86,78.48,,,,83.112,82.392,
"Cloyd, Tyler",2018,R,5.599,-2.313,6.408,336,-0.6,-2.294,,,-3.533,,,,,-13.728,-2.934,,,4.27,,,,,12.928,17.157,,,10.269,,,,,106.0,76.0,,,94.0,,,,,0.315,0.226,,,0.28,,,,,5.76,5.102,,,6.398,,,,,90.354,90.075,,,87.652,,,,
"Cobb, Alex",2018,R,6.126,-1.666,5.199,2437,-0.474,,,-2.268,,,,0.155,,-13.659,,,4.047,,,,-15.054,,15.371,,,-15.663,,,,8.452,,1256.0,,,535.0,,,,644.0,,0.515,,,0.22,,,,0.264,,5.485,,,10.004,,,,7.726,,91.922,,,81.559,,,,86.483,
"Cole, A.J.",2018,R,5.768,-3.105,6.137,871,-1.119,-2.387,,-3.446,,,-3.9,,,-13.719,-7.588,,3.466,,,1.049,,,13.079,16.424,,-0.251,,,5.581,,,112.0,182.0,,176.0,,,378.0,,,0.129,0.209,,0.202,,,0.434,,,5.728,5.375,,8.519,,,7.68,,,92.429,94.002,,79.48,,,84.358,,
"Cole, Gerrit",2018,R,5.612,-2.238,6.048,3443,-0.736,-1.305,-0.505,-3.775,,,-3.55,,,-15.588,-11.077,-14.552,12.386,,,5.183,,,13.594,17.304,11.309,-11.438,,,3.817,,,198.0,1741.0,159.0,665.0,,,680.0,,,0.058,0.506,0.046,0.193,,,0.198,,,4.877,4.243,5.787,9.138,,,6.919,,,96.259,96.573,87.826,82.539,,,88.765,,
"Cole, Taylor",2018,R,5.96,-1.259,6.625,571,,-0.224,0.335,,,,-2.279,,,,-11.51,-13.218,,,,1.559,,,,15.31,5.415,,,,5.995,,,,223.0,143.0,,,,205.0,,,,0.391,0.25,,,,0.359,,,,5.454,7.619,,,,7.377,,,,92.928,86.88,,,,86.404,,
"Coleman, Louis",2018,R,4.757,-3.864,6.577,835,-1.923,-3.196,,,,,-5.009,,,-13.627,-9.139,,,,,4.708,,,0.637,12.201,,,,,1.146,,,117.0,336.0,,,,,375.0,,,0.14,0.402,,,,,0.449,,,6.699,4.262,,,,,7.345,,,87.778,89.605,,,,,82.854,,
"Collins, Tim",2018,L,5.762,0.394,5.546,371,,0.341,,2.498,,,2.04,,,,-3.501,,10.623,,,5.017,,,,18.791,,-17.651,,,10.115,,,,197.0,,63.0,,,68.0,,,,0.531,,0.17,,,0.183,,,,5.058,,11.153,,,6.268,,,,92.444,,74.814,,,88.707,,
"Colomé, Alex",2018,R,6.272,-1.46,5.929,1085,,-0.86,,,-2.034,,,,,,-4.305,,,1.334,,,,,,17.709,,,7.491,,,,,,486.0,,,599.0,,,,,,0.448,,,0.552,,,,,,5.153,,,7.343,,,,,,95.128,,,90.416,,,,
"Colon, Bartolo",2018,R,5.489,-1.457,5.133,2228,0.039,-0.325,0.288,,-1.136,,-2.775,,,-16.944,-8.168,-13.777,,-0.581,,4.292,,,8.037,16.375,7.668,,13.285,,1.835,,,1389.0,365.0,248.0,,62.0,,164.0,,,0.623,0.164,0.111,,0.028,,0.074,,,6.193,5.197,7.544,,5.717,,8.089,,,86.858,89.32,80.78,,85.534,,80.471,,
"Conley, Adam",2018,L,5.845,3.397,6.211,774,,2.05,1.415,,,,4.595,,,,-16.869,-17.108,,,,0.68,,,,12.766,8.968,,,,7.047,,,,440.0,209.0,,,,125.0,,,,0.568,0.27,,,,0.161,,,,5.527,7.226,,,,7.478,,,,95.21,85.771,,,,88.131,,
"Conlon, P.J.",2018,L,5.384,1.14,5.379,135,-0.603,,,,,,,,,-16.448,,,,,,,,,9.972,,,,,,,,,59.0,,,,,,,,,0.437,,,,,,,,,6.212,,,,,,,,,86.422,,,,,,,,
"Cook, Ryan",2018,R,5.969,-2.069,5.512,312,,-1.185,,,,,-2.987,,,,-8.491,,,,,6.824,,,,14.34,,,,,-5.166,,,,181.0,,,,,85.0,,,,0.58,,,,,0.272,,,,5.396,,,,,8.443,,,,94.288,,,,,84.714,,
"Corbin, Patrick",2018,L,6.263,2.316,6.047,3138,0.291,2.07,,2.421,,,3.486,,,-14.457,-7.712,,2.363,,,3.315,,,11.276,15.425,,0.076,,,-0.995,,,895.0,629.0,,292.0,,,1286.0,,,0.285,0.2,,0.093,,,0.41,,,6.789,5.773,,9.971,,,9.464,,,90.762,90.78,,72.539,,,81.697,,
"Cordero, Jimmy",2018,R,6.287,-2.281,6.802,332,-0.554,-2.174,,,,,-2.848,,,-13.353,-3.556,,,,,2.857,,,9.377,13.075,,,,,-7.052,,,70.0,135.0,,,,,68.0,,,0.211,0.407,,,,,0.205,,,6.332,5.444,,,,,8.996,,,96.877,97.823,,,,,85.034,,
"Cortes, Nestor",2018,L,5.326,1.976,5.583,108,,1.149,,,,,,,,,-8.104,,,,,,,,,18.716,,,,,,,,,67.0,,,,,,,,,0.62,,,,,,,,,4.632,,,,,,,,,87.864,,,,,,,
"Coulombe, Danny",2018,L,5.816,0.416,5.555,394,,0.317,,1.25,,,1.136,,,,-4.136,,7.284,,,2.449,,,,11.184,,-17.593,,,4.54,,,,90.0,,114.0,,,149.0,,,,0.228,,0.289,,,0.378,,,,5.552,,10.15,,,7.019,,,,89.424,,79.599,,,85.051,,
"Covey, Dylan",2018,R,6.338,-1.794,5.749,2052,-0.529,,-0.273,-2.322,-2.655,,-2.843,-1.168,,-13.066,,-12.778,2.721,2.853,,4.202,-8.255,,11.094,,7.51,-4.813,9.081,,2.356,3.18,,1235.0,,75.0,191.0,127.0,,240.0,165.0,,0.602,,0.037,0.093,0.062,,0.117,0.08,,6.337,,7.113,8.902,6.771,,7.573,8.214,,94.087,,83.711,81.155,91.106,,86.836,85.553,
"Crick, Kyle",2018,R,5.626,-1.449,5.93,1046,0.419,-1.375,,,,,-3.871,,,-15.04,-4.644,,,,,18.232,,,8.203,14.128,,,,,-2.517,,,166.0,596.0,,,,,270.0,,,0.159,0.57,,,,,0.258,,,5.768,4.826,,,,,8.339,,,96.189,95.782,,,,,81.468,,
"Crockett, Kyle",2018,L,4.916,1.839,6.991,174,,0.565,,,,,,,,,-13.179,,,,,,,,,10.623,,,,,,,,,121.0,,,,,,,,,0.695,,,,,,,,,5.08,,,,,,,,,87.424,,,,,,,
"Cueto, Johnny",2018,R,5.72,-2.278,5.365,793,-0.29,-1.723,-1.116,,,,-3.196,,,-16.149,-9.752,-12.222,,,,2.823,,,9.233,16.245,3.446,,,,4.799,,,161.0,207.0,203.0,,,,206.0,,,0.203,0.261,0.256,,,,0.26,,,6.335,4.835,7.916,,,,7.5,,,89.07,89.784,81.742,,,,82.754,,
"Cuevas, William",2018,R,5.826,-1.609,6.33,348,,-2.018,0.47,-4.335,,,-3.036,,,,-1.981,-12.13,19.509,,,6.444,,,,15.121,14.386,-0.992,,,2.949,,,,102.0,69.0,52.0,,,99.0,,,,0.293,0.198,0.149,,,0.284,,,,5.183,6.622,8.6,,,7.448,,,,90.768,82.736,79.417,,,85.153,,
"Curtis, Zac",2018,L,5.013,2.591,5.615,317,,1.052,,,,,3.237,,,,-14.989,,,,,0.869,,,,13.922,,,,,2.707,,,,188.0,,,,,90.0,,,,0.593,,,,,0.284,,,,4.701,,,,,6.762,,,,92.097,,,,,86.96,,
"Curtiss, John",2018,R,6.379,-2.824,5.981,116,,-2.206,,,,,,,,,-8.386,,,,,,,,,16.527,,,,,,,,,76.0,,,,,,,,,0.655,,,,,,,,,5.322,,,,,,,,,93.758,,,,,,,
"Danish, Tyler",2018,R,5.228,-1.419,4.837,136,,,,,,,,,-2.902,,,,,,,,,12.778,,,,,,,,,3.943,,,,,,,,,56.0,,,,,,,,,0.412,,,,,,,,,7.094,,,,,,,,,79.12
"Darvish, Yu",2018,R,5.375,-2.632,6.127,740,-1.299,-2.272,,,-3.459,,,,-4.186,-14.1,-5.341,,,4.003,,,,13.788,9.041,16.157,,,8.532,,,,3.093,128.0,276.0,,,93.0,,,,130.0,0.173,0.373,,,0.126,,,,0.176,5.666,4.688,,,5.93,,,,6.944,93.516,94.094,,,89.197,,,,83.883
"Davies, Zach",2018,R,5.493,-2.148,5.867,1141,-0.57,,-0.173,-3.579,-2.887,,,,,-17.246,,-15.516,9.877,-0.998,,,,,10.719,,7.723,-13.619,11.344,,,,,646.0,,140.0,190.0,147.0,,,,,0.567,,0.123,0.167,0.129,,,,,5.938,,7.522,10.481,5.613,,,,,89.843,,80.421,75.626,87.456,,,,
"Davis, Austin",2018,L,6.198,2.393,6.129,614,,1.712,0.418,,,,3.529,,,,-7.924,-13.206,,,,3.023,,,,15.728,11.407,,,,5.769,,,,294.0,146.0,,,,165.0,,,,0.479,0.238,,,,0.269,,,,5.246,7.055,,,,7.339,,,,93.156,83.595,,,,84.461,,
"Davis, Wade",2018,R,6.295,-1.977,5.92,1153,,-2.023,,-2.697,-3.302,,,,,,-1.699,,6.762,5.375,,,,,,15.431,,-10.318,5.558,,,,,,546.0,,247.0,335.0,,,,,,0.474,,0.214,0.291,,,,,,5.692,,10.109,7.437,,,,,,93.855,,83.416,89.791,,,,
"De Jong, Chase",2018,R,6.14,-1.871,5.528,275,,-1.251,0.171,,,,-2.547,,,,-5.127,-15.02,,,,4.846,,,,17.397,8.4,,,,-3.596,,,,147.0,59.0,,,,57.0,,,,0.536,0.215,,,,0.208,,,,5.505,7.404,,,,9.16,,,,89.228,82.203,,,,80.611,,
"De La Rosa, Jorge",2018,L,5.941,2.589,5.446,1002,,1.575,,,3.547,,,1.492,,,-13.146,,,-0.454,,,-11.988,,,12.817,,,7.178,,,3.0,,,434.0,,,121.0,,,404.0,,,0.433,,,0.121,,,0.403,,,5.639,,,7.178,,,8.181,,,92.327,,,85.85,,,83.586,
"De Los Santos, Enyel",2018,R,5.787,-2.432,5.722,335,,-1.5,-0.563,,,,,,,,-11.674,-16.664,,,,,,,,11.377,6.64,,,,,,,,202.0,84.0,,,,,,,,0.603,0.251,,,,,,,,5.194,6.818,,,,,,,,94.598,86.6,,,,,,
"DeSclafani, Anthony",2018,R,5.657,-1.649,6.404,1790,-0.272,-1.033,-0.295,-2.107,,,-2.672,,,-14.382,-8.297,-13.913,5.985,,,4.374,,,10.383,15.733,6.295,-6.013,,,2.342,,,469.0,565.0,65.0,64.0,,,625.0,,,0.262,0.316,0.036,0.036,,,0.35,,,5.576,5.022,6.691,7.881,,,7.451,,,93.604,93.482,88.372,80.414,,,86.829,,
"Delgado, Randall",2018,R,5.974,-1.668,6.196,202,-0.451,-1.379,0.053,,,,,,,-12.179,-6.756,-13.033,,,,,,,13.828,15.76,10.073,,,,,,,51.0,57.0,71.0,,,,,,,0.252,0.282,0.351,,,,,,,5.526,5.511,7.53,,,,,,,91.688,92.098,85.659,,,,,,
"Despaigne, Odrisamer",2018,R,5.846,-1.423,5.785,765,0.284,-0.844,-0.229,,-2.393,,-3.346,,,-15.689,-6.985,-8.357,,2.734,,9.328,,,9.984,14.107,12.049,,3.431,,-5.425,,,218.0,178.0,84.0,,152.0,,97.0,,,0.285,0.233,0.11,,0.199,,0.127,,,5.817,5.308,7.424,,7.771,,9.035,,,92.44,92.664,79.448,,85.739,,81.555,,
"Devenski, Chris",2018,R,6.532,0.094,5.383,774,,1.039,1.538,,,,-1.38,,,,-12.793,-15.559,,,,7.454,,,,15.3,2.743,,,,2.767,,,,322.0,303.0,,,,149.0,,,,0.416,0.391,,,,0.193,,,,5.422,8.781,,,,8.574,,,,94.158,82.981,,,,82.011,,
"Diekman, Jake",2018,L,5.385,4.043,6.037,1012,1.785,2.74,,,,,5.253,,,-17.83,-13.876,,,,,7.025,,,7.369,12.211,,,,,-3.377,,,181.0,466.0,,,,,365.0,,,0.179,0.46,,,,,0.361,,,5.611,5.049,,,,,8.249,,,94.556,95.063,,,,,82.815,,
"Domínguez, Seranthony",2018,R,5.57,-2.294,6.207,931,-0.605,-2.174,-0.442,,,,-3.222,,,-13.027,-1.017,-15.26,,,,5.511,,,8.848,12.428,6.136,,,,0.414,,,63.0,557.0,60.0,,,,251.0,,,0.068,0.598,0.064,,,,0.27,,,5.617,4.895,6.754,,,,7.55,,,98.137,97.986,91.082,,,,88.856,,
"Doolittle, Sean",2018,L,5.994,2.052,6.231,618,,1.806,,,,,,,,,-3.28,,,,,,,,,19.821,,,,,,,,,549.0,,,,,,,,,0.888,,,,,,,,,4.332,,,,,,,,,93.791,,,,,,,
"Drake, Oliver",2018,R,6.342,-0.128,6.455,786,,-0.334,,-0.782,,,,0.626,,,-0.022,,0.966,,,,-4.596,,,18.171,,-12.332,,,,3.984,,,358.0,,61.0,,,,366.0,,,0.456,,0.078,,,,0.466,,,5.285,,9.975,,,,8.163,,,92.49,,79.413,,,,83.856,
"Duensing, Brian",2018,L,6.181,2.507,5.91,718,0.637,2.413,0.78,3.077,,,3.793,,,-14.269,-4.498,-14.796,10.635,,,9.877,,,9.548,14.207,8.581,-13.668,,,1.692,,,158.0,232.0,107.0,90.0,,,131.0,,,0.22,0.323,0.149,0.125,,,0.182,,,6.891,5.883,7.561,11.139,,,8.909,,,90.546,91.278,85.075,71.652,,,80.792,,
"Duffey, Tyler",2018,R,5.968,-2.429,6.198,413,-1.037,-2.175,,-3.916,,,,,,-14.044,-5.478,,9.257,,,,,,7.939,14.888,,-13.264,,,,,,102.0,153.0,,137.0,,,,,,0.247,0.37,,0.332,,,,,,6.329,5.386,,10.264,,,,,,92.756,93.08,,80.277,,,,,
"Duffy, Danny",2018,L,5.77,1.878,6.525,2775,0.821,1.566,0.291,2.58,,,2.921,,,-11.657,-6.992,-14.854,8.092,,,4.645,,,14.97,17.825,11.277,-15.366,,,-1.656,,,488.0,1058.0,516.0,264.0,,,449.0,,,0.176,0.381,0.186,0.095,,,0.162,,,5.08,4.83,7.0,10.043,,,8.069,,,93.286,93.021,83.636,76.167,,,83.32,,
"Duke, Zach",2018,L,5.535,3.064,5.745,913,1.672,,1.57,5.151,,,4.614,,,-13.221,,-11.978,15.072,,,12.395,,,1.597,,0.416,-7.681,,,-0.129,,,423.0,,115.0,209.0,,,141.0,,,0.463,,0.126,0.229,,,0.154,,,7.177,,8.23,9.778,,,8.901,,,88.461,,83.16,73.314,,,78.337,,
"Dull, Ryan",2018,R,5.523,-1.75,5.593,407,,-1.712,,,,,-3.163,,,,-5.186,,,,,8.101,,,,15.502,,,,,0.77,,,,215.0,,,,,169.0,,,,0.528,,,,,0.415,,,,4.956,,,,,8.131,,,,90.8,,,,,81.62,,
"Dunn, Mike",2018,L,5.905,2.286,6.265,338,,2.049,,,,,3.615,,,,-2.092,,,,,5.976,,,,16.157,,,,,3.459,,,,186.0,,,,,125.0,,,,0.55,,,,,0.37,,,,5.426,,,,,7.684,,,,91.979,,,,,85.718,,
"Dyson, Sam",2018,R,5.41,-1.588,5.355,987,0.187,-1.506,0.424,,-2.625,,-3.64,,,-17.404,-6.327,-16.796,,2.946,,15.554,,,4.208,11.868,1.083,,5.841,,-6.929,,,578.0,72.0,138.0,,143.0,,55.0,,,0.586,0.073,0.14,,0.145,,0.056,,,6.205,5.05,7.561,,6.465,,8.406,,,93.528,93.424,86.704,,88.89,,82.158,,
"Díaz, Edwin",2018,R,5.231,-2.695,6.542,1170,,-1.667,,,,,-3.284,,,,-10.657,,,,,1.536,,,,15.552,,,,,4.629,,,,727.0,,,,,436.0,,,,0.622,,,,,0.373,,,,4.049,,,,,6.915,,,,97.259,,,,,89.062,,
"Díaz, Miguel",2018,R,5.903,-2.017,5.65,347,,-1.269,-0.666,,,,-3.345,,,,-10.462,-13.788,,,,5.845,,,,15.919,5.84,,,,0.301,,,,185.0,72.0,,,,69.0,,,,0.533,0.207,,,,0.199,,,,4.966,7.009,,,,7.892,,,,95.588,87.385,,,,85.096,,
"Edwards Jr., Carl",2018,R,6.282,-1.669,6.484,946,,-2.432,,-3.12,,,,,,,1.601,,10.62,,,,,,,15.629,,-11.63,,,,,,,717.0,,227.0,,,,,,,0.758,,0.24,,,,,,,5.333,,10.546,,,,,,,94.467,,80.2,,,,,
"Edwards, Jon",2018,R,6.481,-0.566,5.94,139,,-0.393,,,,,-1.422,,,,-2.781,,,,,3.5,,,,16.154,,,,,0.657,,,,80.0,,,,,53.0,,,,0.576,,,,,0.381,,,,5.79,,,,,7.837,,,,95.095,,,,,87.406,,
"Eflin, Zach",2018,R,5.838,-2.663,6.37,2040,-0.488,-1.793,-1.027,-3.823,,,-3.774,,,-16.504,-9.148,-14.108,10.947,,,4.427,,,7.691,14.233,6.911,-8.928,,,3.156,,,241.0,947.0,228.0,116.0,,,508.0,,,0.118,0.464,0.112,0.057,,,0.249,,,6.306,5.026,7.333,9.789,,,7.518,,,93.038,94.627,86.575,77.584,,,85.926,,
"Elías, Roenis",2018,L,5.897,1.15,5.294,829,-0.533,0.659,-0.481,3.196,,,,,,-15.14,-7.678,-17.099,15.148,,,,,,13.868,17.311,8.381,-10.307,,,,,,184.0,270.0,174.0,201.0,,,,,,0.222,0.326,0.21,0.242,,,,,,5.589,5.089,6.895,9.46,,,,,,93.899,94.281,86.717,77.711,,,,,
"Eovaldi, Nathan",2018,R,5.924,-2.79,5.866,2119,,-1.932,,-3.293,-3.528,,-3.644,-1.674,,,-11.536,,8.5,1.776,,4.014,-10.442,,,13.929,,-10.045,9.012,,2.336,2.03,,,843.0,,110.0,677.0,,232.0,257.0,,,0.398,,0.052,0.319,,0.109,0.121,,,4.509,,9.339,6.112,,7.834,7.549,,,97.43,,79.843,92.746,,86.749,88.188,
"Erlin, Robbie",2018,L,5.889,2.292,5.886,1564,0.686,2.223,1.115,2.596,,,3.258,,,-13.202,-5.9,-8.215,2.728,,,2.351,,,13.347,17.546,11.173,-15.264,,,8.342,,,446.0,473.0,273.0,291.0,,,81.0,,,0.285,0.302,0.175,0.186,,,0.052,,,5.777,5.087,6.762,10.405,,,6.651,,,90.236,90.404,84.299,76.375,,,87.158,,
"Estrada, Marco",2018,R,6.483,-0.765,5.309,2498,,-0.319,0.019,-1.869,-2.181,,,,,,-4.226,-9.985,5.578,4.853,,,,,,22.498,18.612,-10.214,9.71,,,,,,1232.0,923.0,191.0,151.0,,,,,,0.493,0.37,0.076,0.06,,,,,,5.339,7.79,10.488,7.667,,,,,,88.545,76.773,76.602,84.932,,,,
"Familia, Jeurys",2018,R,6.291,-1.454,5.63,1201,0.623,-0.755,,,,,-1.981,,,-17.854,-10.586,,,,,1.147,,,5.832,14.107,,,,,3.567,,,633.0,187.0,,,,,343.0,,,0.527,0.156,,,,,0.286,,,6.856,5.357,,,,,7.764,,,96.04,96.535,,,,,87.88,,
"Faria, Jake",2018,R,6.366,-1.703,5.786,1113,,-1.265,,,,,-2.447,-0.473,,,-1.476,,,,,4.34,-9.419,,,18.667,,,,,3.231,5.097,,,675.0,,,,,196.0,208.0,,,0.606,,,,,0.176,0.187,,,5.44,,,,,8.28,8.78,,,91.506,,,,,82.953,80.953,
"Farmer, Buck",2018,R,5.76,-2.051,5.963,1253,,-0.677,-0.326,,,,-2.71,,,,-12.891,-16.713,,,,1.831,,,,14.345,-0.5,,,,1.858,,,,719.0,317.0,,,,216.0,,,,0.574,0.253,,,,0.173,,,,5.053,7.998,,,,8.463,,,,94.437,86.809,,,,80.82,,
"Farquhar, Danny",2018,R,5.829,-2.096,6.305,116,,-1.484,,,,,,,,,-7.115,,,,,,,,,19.996,,,,,,,,,66.0,,,,,,,,,0.569,,,,,,,,,4.846,,,,,,,,,92.286,,,,,,,
"Farrell, Luke",2018,R,6.963,-2.052,5.832,593,,-1.678,,,,,-3.102,,,,-5.857,,,,,1.997,,,,18.51,,,,,2.445,,,,346.0,,,,,173.0,,,,0.583,,,,,0.292,,,,5.868,,,,,8.602,,,,92.392,,,,,84.173,,
"Fedde, Erick",2018,R,5.942,-1.618,6.358,944,-0.377,,-0.059,-3.182,-3.058,,-3.003,,,-10.42,,-13.038,10.787,3.927,,8.551,,,7.817,,2.589,-8.952,3.021,,-3.482,,,500.0,,115.0,55.0,125.0,,141.0,,,0.53,,0.122,0.058,0.132,,0.149,,,6.327,,7.592,10.051,7.09,,8.732,,,93.712,,87.451,76.933,88.128,,81.401,,
"Feliz, Michael",2018,R,6.385,-1.75,6.409,934,-0.15,-1.522,,,,,-2.643,,,-10.898,-2.638,,,,,5.077,,,15.936,17.758,,,,,4.273,,,54.0,632.0,,,,,207.0,,,0.058,0.677,,,,,0.222,,,5.721,5.397,,,,,8.736,,,94.076,94.758,,,,,83.295,,
"Ferguson, Caleb",2018,L,5.985,1.711,5.944,879,,0.991,,2.741,,,,,,,-9.617,,7.753,,,,,,,16.309,,-17.65,,,,,,,632.0,,219.0,,,,,,,0.719,,0.249,,,,,,,5.166,,10.904,,,,,,,93.889,,75.686,,,,,
"Fernández, José Manuel",2018,L,6.524,1.286,5.426,172,,1.185,,2.584,,,,,,,-4.092,,6.749,,,,,,,18.65,,2.75,,,,,,,77.0,,58.0,,,,,,,0.448,,0.337,,,,,,,5.327,,8.588,,,,,,,94.182,,81.95,,,,,
"Festa, Matt",2018,R,5.137,-2.38,6.079,159,,-2.47,,,,,-3.658,,,,-4.676,,,,,6.699,,,,12.815,,,,,2.54,,,,67.0,,,,,79.0,,,,0.421,,,,,0.497,,,,4.527,,,,,6.858,,,,92.752,,,,,86.903,,
"Fields, Josh",2018,R,5.441,-1.843,6.054,548,,-1.416,,-3.035,,,,,,,-5.912,,5.177,,,,,,,18.435,,-12.715,,,,,,,399.0,,116.0,,,,,,,0.728,,0.212,,,,,,,3.687,,9.37,,,,,,,94.622,,80.021,,,,,
"Fiers, Mike",2018,R,6.101,-1.268,5.802,2667,0.404,-0.293,0.203,-2.601,,,-1.949,,,-14.228,-8.193,-15.71,11.249,,,1.165,,,14.301,18.933,7.27,-18.202,,,11.028,,,272.0,1021.0,487.0,422.0,,,465.0,,,0.102,0.383,0.183,0.158,,,0.174,,,5.855,5.102,7.415,11.677,,,6.7,,,89.236,89.399,83.271,72.424,,,85.224,,
"Fillmyer, Heath",2018,R,5.794,-0.95,5.72,1324,0.748,-0.5,0.64,-1.505,,,-1.692,,,-13.178,-5.35,-13.802,3.826,,,2.047,,,10.84,14.423,4.216,-7.839,,,-0.895,,,54.0,640.0,194.0,141.0,,,294.0,,,0.041,0.484,0.147,0.107,,,0.222,,,5.75,5.31,7.244,9.161,,,7.975,,,91.85,92.546,85.41,79.377,,,84.114,,
"Finnegan, Brandon",2018,L,5.825,0.857,5.606,383,-1.176,0.416,,,,,1.317,,,-14.477,-6.855,,,,,4.669,,,12.771,17.173,,,,,-1.417,,,111.0,140.0,,,,,88.0,,,0.29,0.366,,,,,0.23,,,5.921,5.113,,,,,8.714,,,90.359,91.344,,,,,81.761,,
