player_name,year,hand,rel_height,rel_side,extension,total_pitches,haa_2-Seam/Sinker,haa_4-Seam,haa_Changeup,haa_Curveball,haa_Cutter,haa_Knuckleball,haa_Slider,haa_Splitter,haa_Sweeper,hb_2-Seam/Sinker,hb_4-Seam,hb_Changeup,hb_Curveball,hb_Cutter,hb_Knuckleball,hb_Slider,hb_Splitter,hb_Sweeper,ivb_2-Seam/Sinker,ivb_4-Seam,ivb_Changeup,ivb_Curveball,ivb_Cutter,ivb_Knuckleball,ivb_Slider,ivb_Splitter,ivb_Sweeper,n_2-Seam/Sinker,n_4-Seam,n_Changeup,n_Curveball,n_Cutter,n_Knuckleball,n_Slider,n_Splitter,n_Sweeper,pct_2-Seam/Sinker,pct_4-Seam,pct_Changeup,pct_Curveball,pct_Cutter,pct_Knuckleball,pct_Slider,pct_Splitter,pct_Sweeper,vaa_2-Seam/Sinker,vaa_4-Seam,vaa_Changeup,vaa_Curveball,vaa_Cutter,vaa_Knuckleball,vaa_Slider,vaa_Splitter,vaa_Sweeper,velo_2-Seam/Sinker,velo_4-Seam,velo_Changeup,velo_Curveball,velo_Cutter,velo_Knuckleball,velo_Slider,velo_Splitter,velo_Sweeper
"Alvarez, Henderson",2017,R,6.367,-1.747,6.001,260,-0.157,-1.136,-0.943,,,,,,,-14.33,-6.033,-6.035,,,,,,,10.093,14.742,8.873,,,,,,,55.0,106.0,66.0,,,,,,,0.217,0.417,0.26,,,,,,,6.672,6.265,7.215,,,,,,,91.495,91.498,87.03,,,,,,
"Alvarez, Jose",2017,L,5.707,2.721,6.495,759,0.54,2.389,0.85,4.435,,,,,,-15.995,-7.859,-13.139,6.769,,,,,,11.123,16.728,7.831,-0.331,,,,,,161.0,263.0,130.0,143.0,,,,,,0.212,0.347,0.171,0.188,,,,,,5.739,5.101,7.215,8.541,,,,,,90.96,91.505,81.458,79.215,,,,,
"Anderson, Brett",2017,L,6.396,1.295,5.798,838,-0.742,0.688,-0.493,1.522,,,2.01,,,-15.107,-7.111,-14.783,5.863,,,3.584,,,12.596,18.012,11.648,-12.675,,,-5.497,,,287.0,157.0,113.0,99.0,,,182.0,,,0.342,0.187,0.135,0.118,,,0.217,,,6.675,5.866,7.706,11.074,,,9.195,,,90.292,91.126,83.584,75.255,,,82.322,,
"Anderson, Chase",2017,R,6.073,-1.956,5.521,2251,0.001,-1.513,-0.103,-2.871,-3.309,,,,,-15.553,-7.553,-18.273,5.772,2.8,,,,,15.698,19.532,15.138,-9.168,13.104,,,,,336.0,876.0,362.0,412.0,265.0,,,,,0.149,0.389,0.161,0.183,0.118,,,,,5.574,4.832,6.722,9.951,6.027,,,,,92.7,93.195,83.638,78.157,89.34,,,,
"Anderson, Tyler",2017,L,6.29,1.488,5.965,1403,,0.662,0.032,,2.473,,,,,,-9.452,-11.757,,1.212,,,,,,19.583,13.422,,11.575,,,,,,632.0,431.0,,316.0,,,,,,0.45,0.307,,0.225,,,,,,5.48,7.427,,6.769,,,,,,91.962,82.733,,87.461,,,,
"Andriese, Matt",2017,R,5.698,-2.13,5.583,1434,,-1.293,-1.803,-2.66,,,-2.6,,,,-9.79,-5.585,5.271,,,2.387,,,,17.305,0.338,-12.328,,,2.378,,,,634.0,439.0,244.0,,,116.0,,,,0.442,0.306,0.17,,,0.081,,,,4.76,7.512,9.535,,,7.216,,,,92.097,86.036,80.955,,,86.378,,
"Aquino, Jayson",2017,L,6.119,2.547,4.873,237,,1.644,,,2.611,,,,,,-9.156,,,-1.575,,,,,,11.514,,,4.54,,,,,,117.0,,,55.0,,,,,,0.494,,,0.232,,,,,,6.519,,,7.639,,,,,,88.74,,,84.54,,,,
"Arano, Víctor",2017,R,5.852,-1.737,6.062,172,,,,,,,-3.12,,,,,,,,,5.308,,,,,,,,,4.201,,,,,,,,,90.0,,,,,,,,,0.523,,,,,,,,,8.069,,,,,,,,,83.608,,
"Archer, Chris",2017,R,6.35,-1.49,5.793,3394,,-0.93,0.14,,,,-2.122,,,,-6.541,-14.609,,,,3.185,,,,18.135,8.001,,,,0.798,,,,1609.0,273.0,,,,1512.0,,,,0.474,0.08,,,,0.445,,,,5.098,7.475,,,,8.101,,,,95.52,85.858,,,,88.852,,
"Armstrong, Shawn",2017,R,5.689,-2.886,6.645,430,,-2.515,,,-3.623,,,,-4.397,,-4.428,,,1.295,,,,9.352,,16.681,,,9.473,,,,4.922,,243.0,,,92.0,,,,64.0,,0.565,,,0.214,,,,0.149,,4.78,,,6.404,,,,7.962,,93.168,,,90.53,,,,85.362
